case_id,prediction,evidence_json,prompt,explanation_json,automatic_validation_errors,reviewer_id,correctness,completeness,unsupported_statement_present,contradiction_present,review_notes
case_001,future_poor_qoe,"{""bitrate_kbps"": 8000, ""capacity_margin_mbps"": -5.208, ""current_mos"": 1.0, ""plr_percent"": 65.1, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 1.0, ""throughput_mbps"": 2.792, ""throughput_to_bitrate_ratio"": 0.349, ""trust_level"": ""high"", ""trust_score"": 0.958}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 8000,
  ""capacity_margin_mbps"": -5.208,
  ""current_mos"": 1.0,
  ""plr_percent"": 65.1,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 1.0,
  ""throughput_mbps"": 2.792,
  ""throughput_to_bitrate_ratio"": 0.349,
  ""trust_level"": ""high"",
  ""trust_score"": 0.958
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_002,future_poor_qoe,"{""bitrate_kbps"": 6000, ""capacity_margin_mbps"": -2.76, ""current_mos"": 1.0, ""plr_percent"": 46.0, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 0.98, ""throughput_mbps"": 3.24, ""throughput_to_bitrate_ratio"": 0.54, ""trust_level"": ""high"", ""trust_score"": 0.9453}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 6000,
  ""capacity_margin_mbps"": -2.76,
  ""current_mos"": 1.0,
  ""plr_percent"": 46.0,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 0.98,
  ""throughput_mbps"": 3.24,
  ""throughput_to_bitrate_ratio"": 0.54,
  ""trust_level"": ""high"",
  ""trust_score"": 0.9453
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_003,future_poor_qoe,"{""bitrate_kbps"": 8000, ""capacity_margin_mbps"": -3.264, ""current_mos"": 1.0, ""plr_percent"": 40.8, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 0.8496, ""throughput_mbps"": 4.736, ""throughput_to_bitrate_ratio"": 0.592, ""trust_level"": ""high"", ""trust_score"": 0.8625}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 8000,
  ""capacity_margin_mbps"": -3.264,
  ""current_mos"": 1.0,
  ""plr_percent"": 40.8,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 0.8496,
  ""throughput_mbps"": 4.736,
  ""throughput_to_bitrate_ratio"": 0.592,
  ""trust_level"": ""high"",
  ""trust_score"": 0.8625
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_004,future_poor_qoe,"{""bitrate_kbps"": 8000, ""capacity_margin_mbps"": -8.0, ""current_mos"": 1.0, ""plr_percent"": 100.0, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 0.6543, ""throughput_mbps"": 0.0, ""throughput_to_bitrate_ratio"": 0.0, ""trust_level"": ""medium"", ""trust_score"": 0.7385}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 8000,
  ""capacity_margin_mbps"": -8.0,
  ""current_mos"": 1.0,
  ""plr_percent"": 100.0,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 0.6543,
  ""throughput_mbps"": 0.0,
  ""throughput_to_bitrate_ratio"": 0.0,
  ""trust_level"": ""medium"",
  ""trust_score"": 0.7385
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""medium"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""medium"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""No delivered throughput is observed while a bitrate demand is configured, leaving a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_005,future_poor_qoe,"{""bitrate_kbps"": 6000, ""capacity_margin_mbps"": -3.208, ""current_mos"": 1.0, ""plr_percent"": 53.467, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 1.0, ""throughput_mbps"": 2.792, ""throughput_to_bitrate_ratio"": 0.4653, ""trust_level"": ""high"", ""trust_score"": 0.958}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 6000,
  ""capacity_margin_mbps"": -3.208,
  ""current_mos"": 1.0,
  ""plr_percent"": 53.467,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 1.0,
  ""throughput_mbps"": 2.792,
  ""throughput_to_bitrate_ratio"": 0.4653,
  ""trust_level"": ""high"",
  ""trust_score"": 0.958
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_006,future_poor_qoe,"{""bitrate_kbps"": 8000, ""capacity_margin_mbps"": -5.592, ""current_mos"": 1.0, ""plr_percent"": 69.9, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 1.0, ""throughput_mbps"": 2.408, ""throughput_to_bitrate_ratio"": 0.301, ""trust_level"": ""high"", ""trust_score"": 0.958}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 8000,
  ""capacity_margin_mbps"": -5.592,
  ""current_mos"": 1.0,
  ""plr_percent"": 69.9,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 1.0,
  ""throughput_mbps"": 2.408,
  ""throughput_to_bitrate_ratio"": 0.301,
  ""trust_level"": ""high"",
  ""trust_score"": 0.958
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_007,future_poor_qoe,"{""bitrate_kbps"": 8000, ""capacity_margin_mbps"": -4.76, ""current_mos"": 1.0, ""plr_percent"": 59.5, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 0.9947, ""throughput_mbps"": 3.24, ""throughput_to_bitrate_ratio"": 0.405, ""trust_level"": ""high"", ""trust_score"": 0.9546}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 8000,
  ""capacity_margin_mbps"": -4.76,
  ""current_mos"": 1.0,
  ""plr_percent"": 59.5,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 0.9947,
  ""throughput_mbps"": 3.24,
  ""throughput_to_bitrate_ratio"": 0.405,
  ""trust_level"": ""high"",
  ""trust_score"": 0.9546
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_008,future_poor_qoe,"{""bitrate_kbps"": 6000, ""capacity_margin_mbps"": -3.024, ""current_mos"": 1.0, ""plr_percent"": 50.4, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 0.6996, ""throughput_mbps"": 2.976, ""throughput_to_bitrate_ratio"": 0.496, ""trust_level"": ""medium"", ""trust_score"": 0.7158}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 6000,
  ""capacity_margin_mbps"": -3.024,
  ""current_mos"": 1.0,
  ""plr_percent"": 50.4,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 0.6996,
  ""throughput_mbps"": 2.976,
  ""throughput_to_bitrate_ratio"": 0.496,
  ""trust_level"": ""medium"",
  ""trust_score"": 0.7158
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""medium"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""medium"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_009,future_poor_qoe,"{""bitrate_kbps"": 6000, ""capacity_margin_mbps"": -2.76, ""current_mos"": 1.0, ""plr_percent"": 46.0, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 1.0, ""throughput_mbps"": 3.24, ""throughput_to_bitrate_ratio"": 0.54, ""trust_level"": ""high"", ""trust_score"": 0.958}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 6000,
  ""capacity_margin_mbps"": -2.76,
  ""current_mos"": 1.0,
  ""plr_percent"": 46.0,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 1.0,
  ""throughput_mbps"": 3.24,
  ""throughput_to_bitrate_ratio"": 0.54,
  ""trust_level"": ""high"",
  ""trust_score"": 0.958
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""Delivered throughput is below the configured bitrate demand, producing a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
case_010,future_poor_qoe,"{""bitrate_kbps"": 8000, ""capacity_margin_mbps"": -8.0, ""current_mos"": 1.0, ""plr_percent"": 100.0, ""prediction"": ""future_poor_qoe"", ""prediction_probability"": 0.9392, ""throughput_mbps"": 0.0, ""throughput_to_bitrate_ratio"": 0.0, ""trust_level"": ""high"", ""trust_score"": 0.9194}","You are a senior 5G network engineer.

Rules:
- Use only the supplied evidence.
- prediction_probability is the calibrated probability of poor QoE at the next
  observation. It is not an observed outcome.
- trust_score is a heuristic reliability score, not a probability of correctness.
- Never invent numbers, fields, units, causes, future measurements, or timing.
- Every likely cause must cite one or more exact evidence keys in evidence_keys.
- Optional supported-cause item shape: {statement, evidence_keys}.
- For a non-abstained decision, confidence must equal the supplied trust_level.
- If the evidence supports no cause, use an empty likely_causes list and write
  ""insufficient evidence"" in the summary or limitations.
- Return only valid JSON.

Decision-specific task:
Explain the model's next-observation poor-QoE forecast. Do not claim that degradation has already occurred or that its onset time is known.

Evidence:
{
  ""bitrate_kbps"": 8000,
  ""capacity_margin_mbps"": -8.0,
  ""current_mos"": 1.0,
  ""plr_percent"": 100.0,
  ""prediction"": ""future_poor_qoe"",
  ""prediction_probability"": 0.9392,
  ""throughput_mbps"": 0.0,
  ""throughput_to_bitrate_ratio"": 0.0,
  ""trust_level"": ""high"",
  ""trust_score"": 0.9194
}

Return ONLY this JSON schema:

{
  ""prediction"": ""future_poor_qoe"",
  ""confidence"": ""high"",
  ""summary"": ""The model forecasts poor QoE at the next observation."",
  ""likely_causes"": [],
  ""recommended_operator_checks"": [""Review the cited operational evidence.""],
  ""limitations"": ""Insufficient evidence supports a specific cause.""
}
","{""confidence"": ""high"", ""likely_causes"": [{""evidence_keys"": [""throughput_mbps"", ""bitrate_kbps"", ""throughput_to_bitrate_ratio"", ""capacity_margin_mbps""], ""statement"": ""No delivered throughput is observed while a bitrate demand is configured, leaving a negative capacity margin.""}, {""evidence_keys"": [""plr_percent""], ""statement"": ""The packet-loss evidence is elevated and is consistent with impaired delivery.""}, {""evidence_keys"": [""current_mos""], ""statement"": ""The current MOS indicates poor service quality at the present observation.""}], ""limitations"": ""The evidence supports the forecast but does not identify a unique underlying network fault or establish when conditions may change."", ""prediction"": ""future_poor_qoe"", ""recommended_operator_checks"": [""Verify throughput delivery against the configured bitrate and inspect the packet-loss measurement."", ""Confirm the current MOS measurement and check whether the same conditions persist in later observations.""], ""summary"": ""The model forecasts poor QoE at the next observation, and the supplied operational evidence is consistent with that forecast.""}",[],Ahmed,1,1,0,0,OK
